type,year,authors,title,venue
publications,1997,Garcia Daniela,"COATIS, an NLP system to locate expressions of actions connected by causality links","Proceedings of the 10th European Workshop on Knowledge Acquisition, Modeling and Management (EKAW'97)"
publications,1997,"Jouis Christophe, Mustafa Widad, Biskri Ismaïl, Le Priol Florence",Vers la spécification et l'extension des relations terminologiques : typologie et insertion dans un système de significations des relations,"LTT (5e journée Scientifique du Réseau Lexicologique Terminologie Traduction), [ ]"
publications,1997,"Minel Jean-Luc, Nugier Sylvaine, Piat Gérald",How to Appreciate the Quality of Automatic Text Summarization ? Examples of FAN and MLUCE Protocols and their ; Results on SERAPHIN,"EACL 97, Workshop Intelligent Scalable Text Summarization, 25-30 [ ]"
publications,1997,"Desclés Jean-Pierre, Guentchéva Zlatka",Quantification dans une logique sans variables liées,"Colloque ""Sémantique et confrontation linguistique"", Académie des sciences de Pologne, Varsovie, mars 1997"
publications,1997,"Desclés Jean-Pierre, Guentchéva Zlatka","Enonciateur, locuteur, médiateur dans l'activité diaogique","Colloque International des Américanistes, Quito, Equateur, [ ]"
publications,1997,Battistelli Delphine,Articulation des représentations cognitives produites par le temps linguistique et le lexique verbal dans un texte,"Actes 1ères JST FRANCIL (Journées Scientifiques et Techniques du réseau francophone de l’Ingénierie de la langue de l’AUPELF-UREF), Avignon, 15-16 avril 1997, 169-174"
publications,1997,Desclés Jean-Pierre,"Schèmes, notions, prédicats et termes","Logique, discours et pensée, Mélanges offerts à Jean-Blaise Grize, ; Peter Lange, 9-36 [ ]"
publications,1997,"Desclés Jean-Pierre, Jouis Christophe, Le Priol Florence",Objectifs et fonctionnalités de SEEK,Ateliers des ARC AUPELF-UREF (ARC A3)
publications,1997,Garcia Daniela,Structuration du lexique de la causalité et réalisation d'un outil d'aide au repérage de l'action dans les textes,"Rencontres Terminologies et Intelligence Artificielle (TIA 97), Toulouse, avril 1997, [ ]"
publications,1997,"Jouis Christophe, Biskri Ismaïl, Desclés Jean-Pierre, Le Priol Florence, Meunier Jean-Guy, Mustafa Widad, Nault Georges",Vers l’intégration d’une approche sémantique linguistique et d’une approche numérique pour un outil d’aide à la construction de bases terminologiques,"JST FRANCIL (1ère Journées Scientifiques et Techniques), 427-432 [ ]"
publications,1997,"Jouis Christophe, Le Priol Florence, Desclés Jean-Pierre",Identification des relations sémantiques entre termes : adaptation et extensions du système SEEK,Ateliers des ARC AUPELF-UREF (ARC A3)
publications,1998,"Battistelli Delphine, Valliez Cyril","Textes et Cognition, vol. 2","Eds. Université Hankuk des études étrangères, Séoul ; équipe LaLIC, Université Paris-Sorbonne, Presses Universitaires de la Sorbonne, 63-96"
publications,1998,Desclés Jean-Pierre,"Essais sur le langage, logique et sens commun","Editions Universitaires, Fribourg, Suisse, 53-81 [ ]"
publications,1998,Laublet Philippe,Encyclopédie des techniques de l'ingénieur,
publications,1998,Desclés Jean-Pierre,"Types, preuve et logique combinatoire","Travaux du centre de recherche sémiologiques, Université de Neuchatel"
publications,1998,Desclés Jean-Pierre,Les représentations cognitives du langage sont-elles universelles ?,"Essais sur le langage, logique et sens commun, Editions Universitaires; Fribourg, Suisse, 53-81"
publications,1998,"Desclés Jean-Pierre, Guentchéva Zlatka","Causalité, Causativity, Transitivity","Typology of verbal Categories, ed. L. Kulikov, H. Vater,, 7-27"
publications,1998,"Ghiglione Rodolphe, Desclés Jean-Pierre, Richard Jean-François","Cognition, catégorisation, langage",Langages n°132
publications,1998,Jackiewicz Agata,La causalité dans les textes,"Sémantique et Confrontation des Langues, n°2, SOW, Académie des Sciences de la Pologne, Varsovie, Pologne"
publications,1998,"Kerenbosh Chritiane, Meunier Jean-Marc, Richard Jean-François, Desclés Jean-Pierre, Flageul Valérie","Sémantique cognitive de l’action , II. Etude expérimentale de la catégorie de l’action","Langages, n° 132, 48-68 [ ]"
publications,1998,Chervin Jacqueline,Est-ce que vous avez la bonne image sur votre écran ou le traitement du 25ème anniversaire des premiers pas sur la Lune dans le journal télévisé,"CHEVEIGNÉ, S. de (dir.), “Sciences et médias“, n° 21, Hermès, CNRS éditions, 67-77"
publications,1998,Desclés Jean-Pierre,"Transitivité syntaxique, transitivité sémantique","La transitivité, ed. André Rousseau, Septentrion, Presses universitaires, 162-180"
publications,1998,Desclés Jean-Pierre,"Primitives, types, schèmes sémanttico-cognitifs et polysémie verbale","Sémantique du verbe : Etat de la question, ed. F. Cordier, J. François, Jean-Emmanuel Tyvaert, 49 -62"
publications,1998,"Desclés Jean-Pierre ; Flageul Valérie, Kerenbosh Chritiane, Meunier Jean-Marc, Richard Jean-François","Sémantique cognitive de l’action , I. Contexte théorique","Langages, n° 132, , 28-47 [ ]"
publications,1998,Garcia Daniela,"Analyse automatique des textes pour l""organisation causale des actions. Réalisation du système COATIS,","sous la direction de Jean-Pierre Desclés , Paris-Sorbonne (Paris-IV), 1998-05-01 [ ]"
publications,1998,Jackiewicz Agata,"L'expression de la causalité dans les textes. Contribution au filtrage sémantique par une méthode informatique d'exploration contextuelle,","sous la direction de Jean-Pierre Desclés , Paris-Sorbonne (Paris-IV), 1998-02-01 [ ]"
publications,1998,"Battistelli Delphine, Cyril Valliez, Brahim Djioua",Représenter un texte par une séquence d’images,"Assises des réseaux de sciences cognitives, Collège de France, Paris, 20 octobre 1998, poster"
publications,1998,"Battistelli Delphine, Desclés Jean-Pierre",Modalités d'action et inférences,CHRONOS (Troisième Colloque)
publications,1998,"Desclés Jean-Pierre, Guentchéva Zlatka",Non Fregean Approach of Quantification in Natural Languages,"International Meeting on Language and Artificial Intelligence, Fortaleza, Brasil"
publications,1998,Garcia Daniela,"Exploitation, pour l’élaboration de requêtes de filtrage de textes, des connaissances causales détectées par COATIS","Rifra’98 (Rencontre internationale sur le Filtrage et le Résumé automatique), [ ]"
publications,1998,Maire-Reppert Danièle,La dimension textuelle du calcul des valeurs sémantiques du présent de l'indicatif,CHRONOS (Troisième Colloque)
publications,1998,Abraham Maryvonne,quelques problèmes méthodologiques posés dans la génération de phrases à partir d’un lexique iconique destiné à des ; enfants aphasiques,"Actes des 7èmes journées ERLA-GLAT, 419-431"
publications,1998,"Le Priol Florence, Chevallet Jean-Pierre, Bruandet Marie-France, Desclés Jean-Pierre",Intégration d'un système statistique (IOTA) et d'un système sémantique (SEEK) dans une chaîne de traitement permettant l'extraction de terminologie,"IC'98 (Ingénierie des Connaissances), 33-40 [ ]"
publications,1998,"Nait-Baha Leila, Jackiewicz Agata, Laublet Philippe",Reformulation de requêtes et extraction de phrases pertinentes pour la collecte d’informations sur le Web,"Rifra’98 (Rencontre internationale sur le Filtrage et le Résumé automatique), [ ]"
publications,1998,Desclés Jean-Pierre,Opération de qualification et quantification,"Colloque sur la qualification et la notion, [ ]"
publications,1999,Jeanneret Yves. et al,Text and Visuality - Word and Image Interactions III,"Rodopi, Amsterdam-Atlanta, 249 – 257"
publications,1999,"Talbi Nacima, Laublet Philippe",". Ingénierie des Connaissances, évolutions récentes et nouveaux défis","Eds. J. Charlet, M. ZACKLAD, G. KASSEL &amp; D. BOURIGAULT, Eyrolles"
publications,1999,Desclés Jean-Pierre,Reasonning and aspecto-temporal calculus,"Reasonning and Language, California University Press, Stanford (ed. D. Vanderveken)"
publications,1999,Gorgatchev Bissera,"Le present perfect en comparaison avec le parfait bulgare dans des textes anglais et bulgares, J.-P.Desclés,Z.Guentchéva,S.Karolak,V.Kosesk(eds)","Etudes cognitives, T.3,, Varsovie : Institut de Slavistique, Académie des Sciences de Pologne, 226-242"
publications,1999,Jackiewicz Agata,Causalité et prise en charge énonciative,"Etudes Cognitives, n°3,, Académie Polonaise des Sciences, Varsovie, Pologne, 249-269 [ ]"
publications,1999,Jeanneret Yves. et Souchier Emmanuel,Pour une poétique de lécrit décran,"Multimédia en recherche n° 6, Xoana, Paris, Jean-Michel Place, 97-107"
publications,1999,Jeanneret Yves,"Pérennité, textualité, trivialité : la mémoire sociale comme besoin du texte","Texte, n° 25/26,, Toronto, Trinity college UP, 23-46"
publications,1999,Vazov Nicolaï,"L'identification des valeurs aspecto-temporelles des situations en vue d'un traitement informatique,","sous la direction de Jean-Pierre Desclés , Paris-Sorbonne (Paris-IV), 1999-10-01"
publications,1999,Abraham Maryvonne,"ALEx, une machine à parler à partir d’icônes destinée à des enfants IMC aphasiques","JILA'99 (Journées Internationales de Linguistique Appliquée), [ ]"
publications,1999,"Battistelli Delphine, Desclés Jean-Pierre",Modalités d'action et raisonnements aspecto-temporels,"Actes VEXTAL'99 (Venezia per il trattamento automatico delle lingue), Venise, 22-24 novembre 1999, 351-359"
publications,1999,"Battistelli Delphine, Valliez Cyril",The problem of the transfer between verbal and iconic representations : theoretical stake and practical applications,HCP'99 (Human Centered Processes - 10th Mini EURO Conference)
publications,1999,"Ben Hazez Slim, Desclés Jean-Pierre",BDContext : un système de gestion de connaissances linguistiques orienté vers le filtrage sémantique et la fouille de ; textes,CIDE'99 (2e Colloque International sur le Document Électronique)
publications,1999,"Crispino Gustavo, Ben Hazez Slim, Minel Jean-Luc",Architecture logicielle de Context ; plate-forme d’ingénierie linguistique,TALN 99
publications,1999,"Crispino Gustavo, Desclés Jean-Pierre, Ben Hazez Slim, Minel Jean-Luc, Mourad Ghassan",ContextO : una plataforma de ingeniería lingüística orientada al filtrado semántico de textos (Resumen para ; demostración),"XV CONGRESO DE LA SEPLN, Sociedad Española para el Procesamiento del Lenguaje Natural, Universitat de Lleida, España, [ ]"
publications,1999,Desclés Jean-Pierre,"Combinatory Logic, Language and Cognitive Representations","International Meeting on Alternative Logics in Sciences, Académie internationale de philosophe des sciences"
publications,1999,"Desclés Jean-Pierre, Guentchéva Zlatka",Quantification without Bound variables,"Colloque Free variable Semantics, Université d'Onasbrück, Allemagne,, septembre1996"
publications,1999,Djioua Brahim,Semantico-cognitive representation of meanings application to verbal polysemy,"HCP'99 Human Centered Processes - 10th Mini EURO Conference, [ ]"
publications,1999,Djioua Brahim,DISCC : Un outil de construction et d'utilisation d'une Base de Connaissances Sémantico-Cognitives des verbes,"TALN 99, [ ]"
publications,1999,"Garcia Daniela, Picard Marie-Luce",Aporte del dominio de la terminología a la producción y consulta de documentos ; (Démonstración de herramientas y de ; systemas applicativos),"XV CONGRESO DE LA SEPLN, Sociedad Española para el Procesamiento del Lenguaje Natural, Universitat de Lleida, España, [ ]"
publications,1999,Goujon Bénédicte,VIGITEXT : Information Extraction for Competitive Intelligence,"HCP'99 (Human Centered Processes - 10th Mini EURO Conference), [ ]"
publications,1999,Le Priol Florence,A data processing sequence to extract terms and semantics relations between terms,"HCP’99 (Human Centered Processes - 10th Mini EURO Conference), 241-248 [ ]"
publications,1999,Mourad Ghassan,Rôle de la typographie dans la segmentation de textes,"JILA'99 (Journées Internationales de Linguistique Appliquée), 203-206 [ ]"
publications,1999,Mourad Ghassan,La segmentation de textes par l'étude de la ponctuation,"CIDE'99 (2e Colloque International sur le Document Électronique), 155-171 [ ]"
publications,1999,"Nait-Baha Leila, Jackiewicz Agata, Djioua Brahim",Reformulation de requêtes pour la collecte d’informations sur le Web à partir de points de vue : premiers résultats,"ISKO 99, [ ]"
publications,1999,Goujon Bénédicte,VIGITEXT : Un nouvel outil d'extraction d'informations textuelles pour la veille technologique,"Colloque ”Ile Rousse'99"""
publications,1999,Goujon Bénédicte,Extraction d'informations pour la veille technologique avec le système VIGITEXT,"RECITAL 99 (Rencontre des étudiants chercheurs en informatique pour le Traitement Automatique de la Langue), [ ]"
publications,1999,Goujon Bénédicte,Extraction d’informations techniques pour la veille par l’exploitation de notions indépendantes d’un domaine,"TIA 99 (Terminologie et Intelligence Artificielle), [ ]"
publications,1999,Maire-Reppert Danièle,Comment comprendre un imparfait dans un texte : approche calculatoire,"Journée Scientifique, Centre interdisciplinaire de recherche en linguistique et psychologie cognitive"
publications,2001,"Bertino, E., Catania, B., and Zarri Gian Piedro",Intelligent Database Systems,"Addison-Wesley and ACM Press, London"
publications,2001,Desclés Jean-Pierre,The Reality of the Unoservable,"Eds. Kluwer Academic Publishers, 87-112"
publications,2001,Desclés Jean-Pierre,The Problem of the Unity of Science,"Eds. Evandro Agazzi et Jan Faye, World Scientific Publishing, 107-123"
publications,2001,Desclés Jean-Pierre,La sémantique des relations,"Eds. A. Rousseau, Septentrion, Université de Lille 3, 87-100 [ ]"
publications,2001,"Desclés Jean-Pierre, Guentchéva Zlatka",Variable-free Semantics,"Eds. Böttner, Thümmel, Secolo Verlag, Rolandsmauer, Osnabrück, 210-233"
publications,2001,"Desclés Jean-Pierre, Guentchéva Zlatka",Les rituels du dialogue,"Eds. Aurore Becquelin et Philippe Erickson, L'Harmattan, 79-112 [ ]"
publications,2001,Jeanneret Yves,Histoire de l'écriture : de l'idéogramme au multimédia,"Eds. CHRISTIN, A.M., Flammarion, Paris, 386-394"
publications,2001,"Minel Jean-Luc, Desclés Jean-Pierre",Ingénierie linguistique,"Eds. Jean-Marie Pierrel, Hermès, Paris, 123-144"
publications,2001,Zarri Gian Piedro,Perspectives of System Informatics (Lectures Notes in Computer Science 2244),"Eds. Biørner, D., Broy, M., and Zamulin, A.V., Springer-Verlag, Berlin"
publications,2001,Zarri Gian Piedro,"Databases and Information Systems,","Eds. Barzdins, J, and Caplinskas, A, Kluwer Academic Publishers, Dordrecht"
publications,2001,Abbou André,"La lettre professionnelle de l'ingénierie linguistique et du Multimedia, N° 1-4",
publications,2001,"Amghar Tassadit, Charnois Thierry, Battistelli Delphine",Aspecto-temporal Data and Lexical Representations in French within Simple Conceptual Graphs – An approach based on Semantico-Cognitive Schemes,"Lecture Notes on Artificial Intelligence (LNAI), 2120, Springer-Verlag, 29-43"
publications,2001,"Bertino, E., Catania, B., and Zarri Gian Piedro.","’Metadata, Intelligent Indexing, and Repository Management for Multimedia Digital Libraries","Fondamenta Informaticae, 34, 1-21"
publications,2001,"Bertino, E., Catania, B., Laradi, D., Marin, B., and Zarri Gian Piedro",An Indexing Approach for Multimedia,"Rivista di Informatica, 31,, Digital Libraries, 83-94"
publications,2001,Desclés Jean-Pierre,"Prépositions spatiales, relateurs et préverbes","Studia Kognitywne, 4, SOW, Warszawa, 13-30"
publications,2001,"Desclés Jean-Pierre, Guentchéva Zlatka",La notion dabduction et le verbe devoir épistémique,"Les verbes modaux, Cahiers chronos, Rodopi, Amsterdam, 103-122"
publications,2001,Ibrahim Amr Helmy,Argumentation interne et enchaînements dans les matrices définitoires,"Les discours intérieurs au lexique, Langages 142, Paris:Larousse, (Amr Helmy Ibrahim éd.), 92-126"
publications,2001,"Nait-Baha Leila, Jackiewicz Agata, Djioua Brahim, Laublet Philippe",Query Reformulation for Information Retrieval on the Web Using the Point of View Methodology : Preliminary Results,"International Journal ""Knowledge Organization Vol 28 N°3, 129-136"
publications,2001,Porhiel Sylvie,Organizing Data: Thematic Introducers as an Example,"Coyote Papers 12, 42-61"
publications,2001,Abraham Maryvonne,la représentation visualisée et la perception visuelle des schèmes verbaux et de leurs paramètres,"Sémantique du lexique verbal, Syntaxe et Sémantique, n°2, Presses Universitaires de Caen, 259-285"
publications,2001,"Berthelot-Guiet Karine, Ollivier-Yaniv C.","Tu t'es vu quand t'écoutes l'Etat"" ou la réception des campagnes de communication gouvernementale : appropriation et détournement linguistique des","Réseaux, vol. 19 n°109, , 154-178"
publications,2001,Cotte Dominique,"De la Une à l'écran, les avatars du texte journalistique","Communication &amp; Langages n°129, , 64-78"
publications,2001,Ibrahim Amr Helmy,Une classification des verbes en 6 classes asymétriques hiérarchisées,"Syntaxe et Sémantique 2, sémantique du lexique verbal, Caen: Presses Universitaires de Caen, 81-98"
publications,2001,Jeanne-Perrier Valérie,Média imprimé et média informatisé : le leurre de la complémentarité,"Communication &amp; langages, 129,"
publications,2001,Jeanneret Yves,Les Politiques de linvisible : du mythe de lintégration à la fabrique de lévidence,"Document numérique, vol.5, n° 1-2, Paris, Hermès sciences publication, 155-180"
publications,2001,Jeanneret Yves,"Informatic Literacy : manifestations, captations et déceptions dans le texte informatisé","Spirales, Lille, n° 28, “Nouveaux outils, nouvelles écritures, nouvelles lectures, , 11-32"
publications,2001,Labelle Sarah,"La société de linformation», à décrypter !","Communication &amp; langages, n°128, , 65-79"
publications,2001,"Martin P, Beaudoin-Begin A-M, Goulet Marie-José, Roy J-P",Les voyelles nasales en français du Québec,"La linguistique, n°37, vol. 2, , 201-222"
publications,2001,"Minel Jean-Luc, Desclés Jean-Pierre, Cartier Emmanuel, Crispino Gustavo, Ben Hazez Slim, Jackiewicz Agata",Résumé automatique par filtrage sémantique d'informations dans des textes,"Revue Technique et Science Informatiques ; 3, Hermes, 369-395 [ ]"
publications,2001,Jeanne-Perrier Valérie,Que devient la relation lecteur-journal quand la presse saffiche sur les écrans dinternet,"Les écrits de limage, 31,"
publications,2001,Jaccarini André,A modifiable structural editor for arabic processing,"ACL Toulouse,"
publications,2001,Mourad Ghassan,"Analyse informatique des signes typographiques pour la segmentation de textes et l'extraction automatique des citations. Réalisation des Applications informatiques : SegATex et CitaRE,","sous la direction de Jean-Pierre Desclés , Paris-Sorbonne (Paris IV), 2001-11-02 [ ]"
publications,2001,Pascu Anca,"Modèles logico-mathématiques en linguistique,","sous la direction de Jean-Pierre Desclés , Université Paris-Sorbonne, 2001-00-00 [ ]"
publications,2001,Valliez Cyril,"Contribution à la conception d""un système automatique d""interprétation de textes par des images,","sous la direction de Jean-Pierre Desclés , Université Paris-Sorbonne, 2001-01-16 [ ]"
publications,2001,Abraham Maryvonne,Palliative communication for cerebral palsy,"congrès ICCOR, Evry"
publications,2001,"Amghar Tassadit, Battistelli Delphine, Charnois Thierry","Représenter le temps en langue dans le formalisme des graphes conceptuels, une approche baséee sur les schèmes sémantico-cognitifs","TALN 2001, Tours, 2-5 juillet, [ ]"
publications,2001,"Ben Hazez Slim, Desclés Jean-Pierre, Minel Jean-Luc",Modèle d'exploration contextuelle pour l'analyse sémantique de textes,"TALN 2001, Tours, 2-5 juillet, 73-82 [ ]"
publications,2001,"Couto Javier, Crispino Gustavo, Minel Jean-Luc",ContextO: una plataforma informática para la extracción de información y el resumen automático de textos,"SLPLT-2 - Second International Workshop on Spanish Language Processing and Language Technologies, Jaén, España"
publications,2001,"Desclés Jean-Pierre, Gwiedezka Ewa, Montes-Redon Azucena",Towards invariant meanings of spatial prepositions and preverbs,"ACL-2001 Workshop on Temporal, Spatial Information Processing, Toulouse, 7 juillet, 17-24 [ ]"
publications,2001,"Ferret Olivier, Grau Brigitte, Minel Jean-Luc, Porhiel Sylvie",Repérage de structures thématiques dans des textes,"TALN 2001, Tours, 163-172"
publications,2001,"Grassi M, Malcuori M, Couto Javier, Prada J J, Wonsever Dina",Corpus informatizado: textos del español del Uruguay (CORIN),"International Workshop on Spanish Language Processing and Language Technologies, Jaén, España"
publications,2001,Gwiazdecka Ewa,Towards topological value of Polish perfectivizing preverb,"Proceedings of Perspectives on Aspect , UiL-OTS, Utrecht, 12-14 décembre"
publications,2001,Ibrahim Amr Helmy,Pour réduire la métalangue dans la terminologie linguistique: la redondance,"Métalangage et terminologie linguistique, (Bernard Colombat &amp; Marie Savelli éd.) Actes du colloque international de Grenoble, ORBIS / SUPLLEMENTA, Leuven / Paris: Peeters, 209-223"
publications,2001,Jaccarini André,Quelques opérations sur les langages engendrés par les opérateurs syntaxiques,Anlsl
publications,2001,Jeanneret Yves,"Y a-t-il vraiment des nouvelles technologies ? Prospective, de CyberWorld à Platon","colloque Médiation des savoirs, des langues et des cultures : quelles perspectives pour les nouvelles technologies ?, Université dAthènes"
publications,2001,Le Priol Florence,"Identification, interprétation et représentation de relations sémantiques entre concepts","TALN 2001, Tours, 2-5 juillet, 379-384 [ ]"
publications,2001,"Nava Maria, Garcia Daniela",Automatic hypertext information retrieval in a corporate memory using noun phrases in context,"RANLP 2001, Tzigov Chark, Bulgarie, [ ]"
publications,2001,Park Wonsil,How to represent the semantics of verbs? - examples in Korean and in French,"International Conference ASIALEX 2001, Université de Yonsei, Séoul"
publications,2001,Park Wonsil,"Ladjectif, un verbe détat ? : une représentation cognitive des adjectifs coréens et français","Colloque International L'adjectif en français et à travers diverses langues, Université de Caen"
publications,2001,"Park Wonsil, Abraham Maryvonne",Acquisition of Causal Information from Medical Documents in French for Experts,"World Congress on Medical Physics and Biomedical Engineering, Istanbul"
publications,2001,Schwer Sylviane R.,Temporal Granularity Enlightened by Knowledge : Natural Language Processing and Information Systems,"5th International Conference on Applications of Natural Language to Information Systems, NLDB 2000, Versailles, France, 28-30 juin 2000"
publications,2001,Zarri Gian Piedro,A Knowledge Engineering Approach to Deal with Narrative Multimedia Documents,Preliminary Proceedings of the Andrei Ershov Fourth International Conference — Perspectives of System Informatics. Novosibirsk: Siberian Branch of the Russian Academy of Sciences
publications,2001,Berthelot-Guiet Karine,Imaginaire linguistique et publicité : quand le message participe à la stigmatisation dune langue fautive,"Colloque international Imaginaire linguistique, Université Paris V-René Descartes"
publications,2001,Goulet Marie-José,Monographies,"Actes des XVes Journées de linguistique, CIRAL,, Québec, 128 pages"
publications,2001,"Mourad Ghassan, Nait-Baha Leila, Laublet Philippe",Collecte d'information sur le Web selon des points de vue: l'exemple de la citation,"ISKO'2001, Filtrage et résumé automatique de l'information sur le réseaux, sous la direction de S. Chaudiron, C. Fluhr, Université de Nanterre-Paris, [ ]"
publications,2001,"Nava Maria, Garcia Daniela",Contextualisation automatisé de syntagmes nominaux pour la navigation dans une mémoire d'entreprise,"Conférence TIA-2001, Nancy, [ ]"
publications,2002,Berthelot-Guiet Karine,L'imaginaire linguistique,"Eds. HOUDEBINE, A.M., L'Harmattan, Paris, 83-88"
publications,2002,Boudon Pierre,Le champ sémantique de la parenté. Rapport entre langage et représentation des connaissances,"L'Harmattan, Paris"
publications,2002,Desclés Jean-Pierre,Variations sur la linguistique,"Eds. Antoine Culioli, Klincksieck, Paris, 243-253"
publications,2002,Jeanne-Perrier Valérie,le paysage médiatique régional à l'ère électronique,"Eds. DAMIAN, B. et al., L'Harmattan"
publications,2002,Jeanneret Yves,"A History of Writing, from Ideogram to Multimedia","Eds. CHRISTIN, A.M., (dir.), Flammarion, New-york"
publications,2002,"Laublet Philippe, Nait-Baha Leila, Jackiewicz Agata, Djioua Brahim",Interaction homme-machine et recherche d'information,"Eds. Céline Paganelli (ed), Hermes, [ ]"
publications,2002,"Laublet Philippe, Reynaud Chantal, Charlet Jean",Assises du GDR I3,"Cépadues, Nancy"
publications,2002,Minel Jean-Luc,Filtrage sémantique de textes. Problèmes conception et réalisation d'une plate-forme informatique,"Eds. Habilitation à diriger des recherches, Université Paris-Sorbonne, Paris"
publications,2002,Zarri Gian Piedro,Information Modelling and Knowledge Bases XIII,"Eds. Kangassalo, H., Welzer, T., Jakkola, H.,Rozman, I, and Kawaguchi, E., IOS Press, Amsterdam"
publications,2002,Souchier Emmanuel (Dir.),Fonction éditorial et internet,"Eds. Communication &amp; Langages, n°130"
publications,2002,Souchier Emmanuel (Dir.),L'image du texte,"Eds. Communication &amp; Langages, n°134"
publications,2002,Souchier Emmanuel (Dir.),Nouveaux théâtres de la mémoire,"Eds. Communication &amp; Langages, n°131"
publications,2002,"Autebert J.-M., Latapy M., Schwer Sylviane R.",Le treillis des chemins de Delannoy,"Discrete Mathematics 258 (1-3), 225--234"
publications,2002,Desclés Jean-Pierre,Categorization : A Logical Approach of a Cognitive Problem,"Journal of Cognitive Science, Vol. 3, n° 2, 85-137"
publications,2002,Ibrahim Amr Helmy,Les verbes supports en arabe,"Bulletin de la Société de Linguistique de Paris, Tome XCVII, fasc.1, Louvain: Peeters, 315-352"
publications,2002,"Mourad Ghassan, Desclés Jean-Pierre",Citation textuelle : identification automatique par Exploration Contextuelle,"Faits de Langues, N° 19, [ ]"
publications,2002,Schwer Sylviane R.,Formalizing Calendars with the Category of Ordinals,"Applied Intelligence, 275–295 [ ]"
publications,2002,Schwer Sylviane R.,Reasoning with intervals on granules,"Journal of Universal Computer Science, Special issue on Spatial and Temporal reasoning 8 (8), 793--808"
publications,2002,Schwer Sylviane R.,S-arrangements avec répétitions,"Comptes Rendus de l'Académie des Sciences de Paris, Série I 334, 261--266"
publications,2002,Zarri Gian Piedro,Conceptual Modelling and Knowledge Management for Narrative Multimedia Documents,"Information Modelling and Knowledge Bases XIII, Kangassalo, H., Welzer, T., etc.,, eds. Amsterdam: IOS Press"
publications,2002,Cotte Dominique,Epaisseur documentaire et numérisation : le cas des dossiers dactualité dans la documentation de presse,"Document numérique, n° 6,"
publications,2002,Jeanne-Perrier Valérie,Penser la dynamique intranet : de linformation à linteraction ?,"Les Cahiers de la communication interne,"
publications,2002,Jeanneret Yves. et Souchier Emmanuel,La communication médiatisée est-elle un usage,"Communication &amp; langages, n° 132,"
publications,2002,Cotte Dominique,"L'approche néophyte de la page web, ou, «Mais où je clique là ?»","Les Dossiers du numérique, vol 3, n° 3,"
publications,2002,Ben Hazez Slim,"Modèle de filtrage et de structuration des textes, Conception et réalisation d une plate-forme orientée objet,","sous la direction de Jean-Pierre Desclés , Université Paris-Sorbonne, 2002-11-00"
publications,2002,Montes-Redon Azucena,"Contribution à un modèle quasi-topologique pour la sémantique des langues : prépositions et préverbes (sur, sous, par et sobre).,","sous la direction de Jean-Pierre Desclés , Université Paris-Sorbonne, 2002-12-17 [ ][ ]"
publications,2002,Soh Jong-Seok,"Transitivité sémantique et ses corrélats conceptuels,","sous la direction de Jean-Pierre Desclés , Université Paris-Sorbonne, 2002-12-13"
publications,2002,,"Les prépositions spatiales en français,","sous la direction de Jean-Pierre Desclés , Université d'Anvers, 2002-12-00"
publications,2002,,"Filtrage sémantique de textes. Problèmes, conception et réalisation d'une plate-forme informatique,","sous la direction de Jean-Pierre Desclés , Université Paris-Sorbonne, 2002-01-31"
publications,2002,Abraham Maryvonne,"parties du discours: sémantique, perception, cognition – le domaine de l’audible","actes d’eurosem 2000 « visualiser le lexiqque verbal de l’audible ? » Presses Universitaires de Reims, n° 17, 17-31 [ ]"
publications,2002,Abraham Maryvonne,comment écrire la langue dans une communication palliative vocalisée ?,"2ème conférence pour l’essor des technologies d’assistance, congrès handicap 2002, 149-155 [ ]"
publications,2002,Abraham Maryvonne,alternative communication in the case of speech impairment,"IEEE, Hammamet"
publications,2002,"Amghar Tassadit, Battistelli Delphine, Charnois Thierry",Reasoning on aspectual temporal information in French within Conceptual Graphs,"14th IEEE ICTAI (International Conference on Tools with Artificial Intelligence), Washington D.C., 4-6 novembre"
publications,2002,"Bachimont Bruno, Isaac Antoine, Troncy Raphaël",Semantic Commitment for Designing Ontologies : a Proposal.,"13th International Conference EKAW'02, Espagne, [ ]"
publications,2002,Djioua Brahim,Quel système informatique pour la représentation et l'utilisation des significations verbales représentées sous forme de schèmes sémantico-cognitifs ?,"Proceedings of the International Symposium of Arabic, University of Manouba, Tunisia, Faculty of Arts, Department of Arabic, 237-261 [ ]"
publications,2002,"Farzindar Atefeh , Saggion Horacio , Lapalme Guy",Summaries with SumUM and its Expansion for Document Understanding,"Conference (DUC2002) , In Proceedings of the Document Understanding Conference, Philadelphia, PA, [ ]"
publications,2002,Gorgatchev Bissera,Le present perfect résultatif : marqueurs aspectuels,"Chronos, (Cinquieme Colloque), Gröningen, juin, [ ]"
publications,2002,Jackiewicz Agata,Repérage et délimitation des cadres organisationnels pour la segmentation automatique des textes,"CIFT’02 : Colloque International sur la Fouille de Textes, Hammamet – Tunisie, 95-107 [ ]"
publications,2002,"Ladouceur J, Goulet Marie-José",The use of multi-word unit networks in natural language processing,"Actes du 37th Linguistic Colloquium, Jena (Allemagne), 25-27 septembre, 363-372"
publications,2002,"Mourad Ghassan, Schrepfer André Géraldine",Le repérage automatique des segments textuels de discours rapporté au moyen des selon X énonciatifs,"CIDE 2002, 5e Colloque International sur le Document Électronique, 20-23 Octobre, [ ]"
